City,Country,Region,Cost of Living,Female:Male Ratio,English Proficiency,Ease of Travel,Safety,Weather,Dating App Activity,Cultural Openness,Internet Speed,Expat Community,Healthcare Quality,Flight Connectivity,Air Quality,Political Stability,Nightlife & Social Scene,Raw_USD,Raw_Mbps,Raw_AQI
Chiang Mai,Thailand,Southeast Asia,82.0,83.9,17.8,74.0,88.3,93.0,82.0,88.0,26.0,65.8,85.1,57.0,0.0,54.2,40.0,920,110,142
Bangkok,Thailand,Southeast Asia,71.8,86.2,17.8,74.0,62.8,82.5,93.0,88.0,50.0,100.0,77.3,62.0,51.6,54.2,100.0,1450,210,79
Phuket,Thailand,Southeast Asia,68.2,75.9,17.8,74.0,60.7,86.0,67.0,82.0,18.0,67.0,75.0,60.0,82.0,54.2,80.0,1650,90,42
Bali (Canggu/Ubud),Indonesia,Southeast Asia,78.1,80.5,23.2,70.0,42.5,89.5,72.0,73.0,8.0,70.0,62.0,60.0,79.5,55.5,60.0,1350,58,45
Ho Chi Minh City,Vietnam,Southeast Asia,92.2,85.1,32.9,75.0,43.5,86.0,90.0,87.0,24.0,67.0,62.6,72.0,68.9,66.0,80.0,1150,95,58
Hanoi,Vietnam,Southeast Asia,91.9,83.9,32.9,75.0,69.8,100.0,82.0,82.0,26.0,63.3,56.9,62.0,42.6,66.0,60.0,1000,92,90
Da Nang,Vietnam,Southeast Asia,95.2,81.6,32.9,75.0,86.3,93.0,79.0,84.0,20.0,82.6,54.0,57.0,67.2,66.0,60.0,875,68,60
Kuala Lumpur,Malaysia,Southeast Asia,78.0,75.9,60.1,84.0,29.7,86.0,65.0,52.0,30.0,70.8,69.5,62.0,84.4,72.5,40.0,1250,160,39
Penang,Malaysia,Southeast Asia,84.0,78.2,60.1,84.0,77.1,86.0,60.0,60.0,22.0,62.0,68.0,55.0,79.5,72.5,80.0,1000,130,45
Singapore,Singapore,Southeast Asia,0.0,81.6,100.0,82.0,87.7,89.5,62.0,62.0,100.0,63.9,71.9,82.0,72.1,86.9,60.0,4000,265,54
Manila,Philippines,Southeast Asia,81.1,83.9,56.0,81.0,21.0,86.0,88.0,97.0,24.0,62.0,62.5,82.0,72.1,52.7,80.0,1150,68,54
Krabi,Thailand,Southeast Asia,72.0,79.0,17.8,74.0,72.0,86.0,62.0,85.0,15.0,60.0,68.0,45.0,82.0,37.0,55.0,1200,15,62
Ko Pha Ngan,Thailand,Southeast Asia,68.0,77.0,17.8,74.0,70.0,86.0,58.0,88.0,10.0,65.0,55.0,35.0,87.0,37.0,90.0,1350,10,52
Ko Lanta,Thailand,Southeast Asia,76.0,80.0,17.8,74.0,74.0,86.0,55.0,82.0,10.0,58.0,52.0,42.0,86.0,37.0,40.0,1100,10,53
Nakhon Ratchasima,Thailand,Southeast Asia,85.0,82.0,17.8,74.0,68.0,82.5,58.0,65.0,20.0,38.0,65.0,38.0,46.0,37.0,30.0,850,20,99
Kota Kinabalu,Malaysia,Southeast Asia,80.0,75.0,60.1,84.0,62.0,86.0,55.0,60.0,20.0,50.0,65.0,52.0,87.0,52.0,40.0,1100,20,52
Tokyo,Japan,East Asia,51.9,85.1,14.8,83.0,83.6,68.5,83.0,73.0,70.0,73.2,78.7,93.0,75.4,85.3,100.0,3400,250,50
Osaka,Japan,East Asia,68.5,81.6,14.8,83.0,71.0,72.0,80.0,73.0,66.0,63.3,77.0,77.0,69.7,85.3,60.0,2900,230,57
Fukuoka,Japan,East Asia,74.0,86.2,14.8,83.0,100.0,75.5,76.0,75.0,56.0,60.8,75.5,58.0,88.5,85.3,60.0,2450,210,34
Seoul,South Korea,East Asia,30.2,83.9,40.3,83.0,84.2,61.5,72.0,63.0,78.0,68.9,82.9,93.0,55.7,76.8,100.0,3050,295,74
Taipei,Taiwan,East Asia,51.2,80.5,43.0,85.0,97.2,96.5,83.0,80.0,48.0,65.8,87.2,87.0,49.2,65.0,60.0,2050,230,82
Hong Kong,Hong Kong,East Asia,19.4,94.3,45.6,85.0,89.4,96.5,65.0,65.0,80.0,63.3,66.5,87.0,58.2,60.0,100.0,4600,220,71
Kyoto,Japan,East Asia,50.0,85.0,14.8,83.0,88.0,68.5,68.0,68.0,65.0,62.0,82.0,82.0,87.0,89.0,50.0,2500,65,52
Kobe,Japan,East Asia,52.0,86.0,14.8,83.0,86.0,72.0,72.0,72.0,65.0,60.0,80.0,77.0,87.0,89.0,60.0,2400,65,52
Naha (Okinawa),Japan,East Asia,58.0,85.0,14.8,83.0,85.0,79.0,65.0,75.0,50.0,58.0,76.0,70.0,91.0,89.0,50.0,2200,50,41
Busan,South Korea,East Asia,42.0,84.0,40.3,83.0,80.0,65.0,70.0,65.0,75.0,62.0,78.0,82.0,71.0,68.0,80.0,2700,75,71
Mexico City,Mexico,Latin America,64.8,88.5,12.8,93.0,17.5,79.0,83.0,87.0,16.0,67.6,65.5,100.0,38.5,53.7,80.0,1600,115,95
Playa del Carmen,Mexico,Latin America,58.0,77.0,12.8,93.0,50.7,89.5,75.0,83.0,8.0,72.0,58.0,90.0,85.2,53.7,80.0,1800,78,38
Oaxaca,Mexico,Latin America,80.0,97.7,12.8,93.0,40.9,86.0,60.0,79.0,2.0,62.0,55.0,72.0,82.0,53.7,60.0,1150,50,42
Medellín,Colombia,Latin America,82.6,100.0,26.2,87.0,38.4,93.0,95.0,92.0,20.0,67.6,78.9,77.0,59.0,49.3,80.0,1150,88,70
Bogotá,Colombia,Latin America,85.1,90.8,26.2,87.0,17.7,65.0,85.0,87.0,22.0,67.6,66.0,87.0,71.3,49.3,80.0,1250,85,55
Buenos Aires,Argentina,Latin America,60.3,87.4,58.1,86.0,23.5,79.0,82.0,72.0,24.0,73.0,68.0,82.0,79.5,63.0,100.0,1400,78,45
Santiago,Chile,Latin America,71.0,83.9,38.6,85.0,21.6,65.0,65.0,67.0,36.0,65.0,65.6,87.0,46.7,68.0,80.0,2150,98,85
Lima,Peru,Latin America,80.9,82.8,39.3,85.0,12.1,82.5,70.0,74.0,14.0,62.0,58.8,87.0,67.2,54.7,80.0,1250,78,60
Cusco,Peru,Latin America,74.0,83.9,39.3,85.0,58.3,58.0,55.0,70.0,0.0,58.0,48.0,65.0,100.0,54.7,40.0,900,32,20
San José,Costa Rica,Latin America,53.0,82.8,38.3,87.0,35.2,86.0,72.0,92.0,12.0,65.0,62.9,100.0,79.5,86.0,40.0,2000,88,45
Panama City,Panama,Latin America,63.1,81.6,29.9,90.0,48.7,86.0,68.0,83.0,14.0,70.0,60.2,100.0,83.6,70.4,80.0,1900,82,40
Rio de Janeiro,Brazil,Latin America,85.0,92.0,26.8,85.0,4.2,100.0,80.0,87.0,16.0,70.0,46.6,82.0,79.5,57.0,100.0,1700,105,45
Florianópolis,Brazil,Latin America,83.7,87.4,26.8,85.0,49.8,89.5,67.0,83.0,18.0,62.0,60.5,65.0,91.8,57.0,60.0,1450,88,30
Cordoba,Argentina,Latin America,65.0,88.0,58.1,86.0,35.0,72.0,78.0,78.0,22.0,55.0,65.0,70.0,87.0,38.0,80.0,1500,22,52
Cuenca,Ecuador,Latin America,85.0,84.0,21.0,85.0,52.0,86.0,62.0,75.0,12.0,65.0,62.0,60.0,91.0,28.0,40.0,1000,12,41
Curitiba,Brazil,Latin America,78.0,86.0,26.8,85.0,28.0,68.5,72.0,78.0,18.0,50.0,70.0,65.0,87.0,27.0,65.0,1300,18,52
Recife,Brazil,Latin America,84.0,88.0,26.8,85.0,18.0,89.5,70.0,80.0,14.0,48.0,65.0,67.0,86.0,27.0,80.0,1050,14,53
Asuncion,Paraguay,Latin America,80.0,86.0,45.1,85.0,42.0,79.0,60.0,70.0,10.0,45.0,58.0,62.0,76.0,32.0,65.0,1100,10,66
Lisbon,Portugal,Europe,51.9,87.4,70.5,82.0,71.7,75.5,78.0,80.0,44.0,77.6,72.4,93.0,83.6,75.1,80.0,2700,190,40
Porto,Portugal,Europe,59.5,88.5,70.5,82.0,70.4,68.5,72.0,77.0,40.0,66.4,78.8,72.0,100.0,75.1,60.0,2250,178,20
Funchal (Madeira),Portugal,Europe,61.2,86.2,70.5,82.0,91.9,86.0,52.0,70.0,26.0,60.0,68.0,67.0,98.4,75.1,40.0,2150,132,22
Barcelona,Spain,Europe,44.2,85.1,46.3,82.0,41.1,75.5,80.0,70.0,48.0,76.4,76.7,100.0,75.4,65.8,100.0,3150,198,50
Madrid,Spain,Europe,42.9,86.2,46.3,82.0,77.9,68.5,73.0,67.0,52.0,67.6,79.9,100.0,70.5,65.8,60.0,2950,208,56
Valencia,Spain,Europe,57.5,83.9,46.3,82.0,68.4,79.0,68.0,70.0,46.0,63.9,81.7,67.0,75.4,65.8,60.0,2300,188,50
Las Palmas (Canary Is.),Spain,Europe,59.5,82.8,46.3,82.0,0.0,89.5,60.0,72.0,40.0,65.0,76.0,65.0,87.7,65.8,60.0,2150,152,35
Berlin,Germany,Europe,27.4,86.2,71.5,82.0,52.8,51.0,72.0,62.0,40.0,67.6,66.5,72.0,73.0,68.0,100.0,2850,180,53
Prague,Czech Republic,Europe,43.6,88.5,60.4,81.0,84.0,51.0,70.0,52.0,36.0,62.7,74.8,72.0,74.6,82.5,100.0,2150,168,51
Budapest,Hungary,Europe,56.7,90.8,63.1,81.0,69.6,58.0,68.0,52.0,32.0,65.2,52.2,65.0,68.0,73.3,80.0,1850,162,59
Kraków,Poland,Europe,59.2,94.3,66.4,80.0,84.0,47.5,72.0,65.0,34.0,62.0,58.2,72.0,72.1,74.4,60.0,1750,142,54
Warsaw,Poland,Europe,53.0,92.0,66.4,80.0,83.1,47.5,73.0,67.0,36.0,63.9,58.4,93.0,74.6,74.4,60.0,2150,172,51
Tallinn,Estonia,Europe,35.5,88.5,53.4,80.0,88.9,40.5,62.0,55.0,48.0,62.0,73.8,58.0,83.6,77.8,80.0,2500,205,40
Athens,Greece,Europe,55.0,86.0,71.0,82.0,58.0,75.5,72.0,72.0,40.0,65.0,68.0,87.0,73.0,57.0,90.0,2200,40,70
Split,Croatia,Europe,58.0,86.0,72.8,82.0,72.0,79.0,55.0,75.0,30.0,58.0,70.0,67.0,82.0,66.0,75.0,2050,30,62
Dubrovnik,Croatia,Europe,45.0,83.0,72.8,82.0,80.0,79.0,48.0,72.0,28.0,52.0,65.0,60.0,87.0,66.0,65.0,2900,28,52
Ljubljana,Slovenia,Europe,50.0,86.0,63.0,82.0,82.0,54.5,60.0,70.0,38.0,55.0,78.0,65.0,73.0,82.0,60.0,2500,38,70
Vilnius,Lithuania,Europe,60.0,90.0,58.9,82.0,70.0,47.5,65.0,65.0,42.0,58.0,72.0,68.0,76.0,76.0,75.0,2100,42,66
Wrocław,Poland,Europe,62.0,92.0,66.4,80.0,78.0,47.5,68.0,67.0,34.0,55.0,62.0,65.0,69.0,67.0,70.0,1900,34,73
Portimão,Portugal,Europe,62.0,86.0,70.5,82.0,78.0,82.5,48.0,72.0,30.0,65.0,72.0,55.0,95.0,88.0,55.0,1900,30,32
Alicante,Spain,Europe,55.0,84.0,46.3,82.0,65.0,82.5,62.0,70.0,44.0,72.0,76.0,72.0,84.0,72.0,70.0,2200,44,57
Munich,Germany,Europe,25.0,85.0,71.5,82.0,76.0,51.0,65.0,58.0,45.0,68.0,85.0,93.0,87.0,87.0,80.0,3800,45,52
Faro,Portugal,Europe,60.0,86.0,70.5,82.0,82.0,82.5,48.0,72.0,28.0,70.0,70.0,65.0,95.0,88.0,55.0,2050,28,32
Helsinki,Finland,Europe,22.0,86.0,66.6,82.0,82.0,37.0,60.0,62.0,55.0,55.0,82.0,82.0,96.0,94.0,65.0,3850,55,30
Belgrade,Serbia,EE/Caucasus,62.2,87.4,59.1,88.0,63.4,61.5,85.0,73.0,26.0,67.0,53.1,77.0,54.1,63.0,100.0,1400,125,76
Tbilisi,Georgia,EE/Caucasus,79.2,92.0,46.6,98.0,83.1,61.5,75.0,75.0,12.0,69.5,55.3,65.0,72.1,55.4,40.0,1150,82,54
Sofia,Bulgaria,EE/Caucasus,64.3,90.8,64.4,81.0,61.9,54.5,72.0,63.0,28.0,63.9,58.6,65.0,85.2,66.6,80.0,1300,132,38
Tashkent,Uzbekistan,EE/Caucasus,85.0,82.0,11.6,72.0,65.0,58.0,40.0,55.0,12.0,45.0,55.0,45.0,36.0,33.0,40.0,900,12,110
Timisoara,Romania,EE/Caucasus,68.0,87.0,67.7,80.0,65.0,54.5,58.0,65.0,30.0,52.0,58.0,52.0,73.0,56.0,50.0,1450,30,70
Novi Sad,Serbia,EE/Caucasus,65.0,86.0,59.1,88.0,70.0,61.5,72.0,70.0,25.0,55.0,55.0,57.0,64.0,48.0,75.0,1500,25,77
Varna,Bulgaria,EE/Caucasus,70.0,88.0,64.4,81.0,65.0,65.0,62.0,65.0,26.0,58.0,58.0,50.0,76.0,54.0,65.0,1350,26,66
Dubai,UAE,MEA,40.2,0.0,28.5,72.0,97.8,86.0,62.0,30.0,76.0,73.2,69.9,93.0,4.1,79.4,40.0,3800,235,137
Istanbul,Turkey,MEA,68.1,80.5,28.9,76.0,47.3,65.0,65.0,57.0,12.0,64.5,70.1,100.0,56.6,49.3,100.0,1500,95,73
Cape Town,South Africa,MEA,74.6,86.2,67.1,78.0,6.6,75.5,72.0,80.0,8.0,67.0,68.9,70.0,66.4,55.4,80.0,1600,68,61
Marrakech,Morocco,MEA,85.3,83.9,30.2,83.0,52.6,86.0,42.0,40.0,2.0,58.0,45.0,70.0,87.7,58.4,60.0,1050,42,35
Cairo,Egypt,MEA,100.0,77.0,18.8,67.0,44.1,93.0,35.0,28.0,8.0,62.7,46.2,82.0,89.3,49.2,60.0,700,48,33
Tunis,Tunisia,MEA,80.0,86.0,32.3,80.0,52.0,79.0,35.0,52.0,8.0,45.0,52.0,57.0,69.0,23.0,45.0,1100,8,73
Amman,Jordan,MEA,72.0,82.0,8.6,76.0,65.0,72.0,40.0,55.0,15.0,60.0,68.0,70.0,55.0,34.0,50.0,1750,15,88
Lagos,Nigeria,MEA,75.0,82.0,54.6,55.0,8.0,75.5,72.0,75.0,6.0,52.0,35.0,60.0,46.0,7.0,80.0,1200,6,99
Weligama,Sri Lanka,South Asia,82.0,80.0,28.7,72.0,55.0,82.5,40.0,72.0,8.0,55.0,55.0,45.0,82.0,21.0,45.0,950,8,62
